# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 12 2014 - 09:55:37
#
# Loaded time stamp           : 20140312-10h23m10s754476us
#
# random seed             : 1394619790
0 : 5 c 50
0 : 9 c 50
0 : 10 c 50
0 : 15 c 50
0 : 19 c 50
0 : 19 c 50
0 : 21 c 50
0 : 25 c 50
0 : 25 c 50
0 : 26 c 50
0 : 28 c 50
0 : 29 c 50
0 : 32 c 50
0 : 32 c 50
0 : 39 c 50
0 : 42 c 50
0 : 45 c 50
0 : 48 c 50
0 : 52 c 50
0 : 54 c 50
0 : 57 c 50
0 : 59 c 50
0 : 60 c 50
0 : 60 c 50
0 : 60 c 50
0 : 64 c 50
0 : 64 c 50
0 : 66 c 50
0 : 66 c 50
0 : 66 c 50
0 : 67 c 50
0 : 70 c 50
0 : 71 c 50
0 : 73 c 50
0 : 74 c 50
0 : 79 c 50
0 : 82 c 50
0 : 83 c 50
0 : 84 c 50
0 : 87 c 50
0 : 88 c 50
0 : 89 c 50
0 : 90 c 50
0 : 92 c 50
0 : 93 c 50
0 : 94 c 50
0 : 96 c 50
1 : 5 c 0
1 : 9 c 0
1 : 10 c 0
1 : 15 c 0
1 : 16 c 0
1 : 19 c 0
1 : 21 c 0
1 : 25 c 0
1 : 25 c 0
1 : 26 c 0
1 : 28 c 0
1 : 29 c 0
1 : 32 c 0
1 : 32 c 0
1 : 39 c 0
1 : 45 c 0
1 : 48 c 0
1 : 52 c 0
1 : 54 c 0
1 : 57 c 0
1 : 59 c 0
1 : 60 c 0
1 : 60 c 0
1 : 60 c 0
1 : 64 c 0
1 : 64 c 0
1 : 66 c 0
1 : 66 c 0
1 : 66 c 0
1 : 67 c 0
1 : 70 c 0
1 : 71 c 0
1 : 73 c 0
1 : 74 c 0
1 : 79 c 0
1 : 82 c 0
1 : 83 c 0
1 : 84 c 0
1 : 87 c 0
1 : 88 c 0
1 : 89 c 0
1 : 90 c 0
1 : 92 c 0
1 : 93 c 0
1 : 94 c 0
1 : 96 c 0
2 : 1 c 0
2 : 34 c 0
2 : 74 c 0
3 : 16 c 0
3 : 28 c 0
3 : 61 c 0
3 : 62 c 0
3 : 62 c 0
3 : 66 c 0
4 : 4 c 0
4 : 9 c 0
4 : 30 c 0
4 : 68 c 0
4 : 74 c 0
5 : 31 c 0
5 : 45 c 0
6 : 37 c 0
6 : 63 c 0
6 : 97 c 0
7 : 4 c 0
7 : 14 c 0
7 : 19 c 0
7 : 24 c 0
7 : 97 c 0
8 : 4 c 0
8 : 98 c 0
9 : 27 c 0
9 : 34 c 0
9 : 87 c 0
10 : 8 c 0
11 : 16 c 0
11 : 48 c 0
11 : 70 c 0
11 : 91 c 0
12 : 56 c 0
12 : 71 c 0
12 : 77 c 0
13 : 16 c 0
13 : 26 c 0
13 : 26 c 0
14 : 79 c 0
17 : 47 c 0
19 : 16 c 0
19 : 20 c 0
19 : 95 c 0
20 : 90 c 0
22 : 4 c 0
23 : 20 c 0
26 : 5 c 0
26 : 9 c 0
26 : 10 c 0
26 : 25 c 0
26 : 25 c 0
26 : 28 c 0
26 : 29 c 0
26 : 32 c 0
26 : 32 c 0
26 : 45 c 0
26 : 52 c 0
26 : 59 c 0
26 : 60 c 0
26 : 64 c 0
26 : 64 c 0
26 : 66 c 0
26 : 67 c 0
26 : 70 c 0
26 : 73 c 0
26 : 74 c 0
26 : 79 c 0
26 : 83 c 0
26 : 86 c 0
26 : 89 c 0
26 : 93 c 0
26 : 94 c 0
27 : 10 c 0
27 : 16 c 0
27 : 49 c 0
27 : 57 c 0
28 : 54 c 0
28 : 62 c 0
28 : 62 c 0
28 : 66 c 0
28 : 76 c 0
29 : 43 c 0
29 : 48 c 0
30 : 30 c 0
30 : 58 c 0
30 : 90 c 0
31 : 4 c 0
31 : 37 c 0
31 : 46 c 0
32 : 1 c 0
32 : 5 c 0
32 : 19 c 0
32 : 67 c 0
33 : 74 c 0
34 : 16 c 0
34 : 19 c 0
34 : 68 c 0
34 : 74 c 0
34 : 87 c 0
34 : 95 c 0
34 : 98 c 0
35 : 90 c 0
36 : 4 c 0
36 : 4 c 0
36 : 6 c 0
36 : 28 c 0
36 : 86 c 0
37 : 45 c 0
37 : 58 c 0
37 : 58 c 0
37 : 71 c 0
37 : 77 c 0
38 : 97 c 0
39 : 96 c 0
39 : 96 c 0
39 : 97 c 0
40 : 60 c 0
40 : 81 c 0
41 : 2 c 0
41 : 70 c 0
42 : 26 c 0
43 : 2 c 0
43 : 26 c 0
44 : 14 c 0
44 : 60 c 0
44 : 95 c 0
45 : 34 c 0
45 : 47 c 0
48 : 14 c 0
49 : 26 c 0
49 : 52 c 0
50 : 79 c 0
51 : 9 c 0
51 : 10 c 0
51 : 25 c 0
51 : 25 c 0
51 : 28 c 0
51 : 32 c 0
51 : 32 c 0
51 : 45 c 0
51 : 52 c 0
51 : 59 c 0
51 : 60 c 0
51 : 64 c 0
51 : 66 c 0
51 : 73 c 0
51 : 74 c 0
51 : 79 c 0
51 : 83 c 0
51 : 89 c 0
51 : 93 c 0
51 : 94 c 0
52 : 10 c 0
52 : 14 c 0
53 : 29 c 0
53 : 62 c 0
53 : 62 c 0
53 : 64 c 0
53 : 66 c 0
54 : 8 c 0
54 : 43 c 0
54 : 48 c 0
55 : 16 c 0
55 : 58 c 0
56 : 20 c 0
56 : 33 c 0
56 : 57 c 0
57 : 2 c 0
57 : 19 c 0
57 : 30 c 0
57 : 50 c 0
57 : 67 c 0
57 : 70 c 0
59 : 4 c 0
59 : 16 c 0
59 : 46 c 0
59 : 87 c 0
59 : 95 c 0
59 : 98 c 0
60 : 4 c 0
61 : 1 c 0
62 : 39 c 0
62 : 54 c 0
63 : 5 c 0
63 : 19 c 0
63 : 74 c 0
64 : 5 c 0
64 : 20 c 0
64 : 20 c 0
64 : 20 c 0
64 : 68 c 0
64 : 74 c 0
65 : 16 c 0
65 : 60 c 0
65 : 67 c 0
65 : 94 c 0
66 : 70 c 0
66 : 72 c 0
67 : 71 c 0
67 : 81 c 0
68 : 81 c 0
69 : 95 c 0
69 : 97 c 0
70 : 14 c 0
70 : 45 c 0
71 : 26 c 0
71 : 86 c 0
73 : 20 c 0
73 : 39 c 0
73 : 47 c 0
73 : 90 c 0
74 : 5 c 0
76 : 9 c 0
76 : 10 c 0
76 : 25 c 0
76 : 25 c 0
76 : 28 c 0
76 : 32 c 0
76 : 32 c 0
76 : 45 c 0
76 : 52 c 0
76 : 60 c 0
76 : 64 c 0
76 : 73 c 0
76 : 74 c 0
76 : 79 c 0
76 : 83 c 0
76 : 93 c 0
77 : 10 c 0
77 : 52 c 0
78 : 59 c 0
78 : 62 c 0
78 : 62 c 0
79 : 4 c 0
79 : 29 c 0
80 : 54 c 0
80 : 79 c 0
81 : 16 c 0
81 : 33 c 0
81 : 89 c 0
82 : 2 c 0
82 : 20 c 0
82 : 46 c 0
82 : 58 c 0
82 : 70 c 0
82 : 90 c 0
83 : 16 c 0
83 : 82 c 0
84 : 30 c 0
84 : 50 c 0
84 : 58 c 0
84 : 58 c 0
84 : 87 c 0
84 : 95 c 0
85 : 19 c 0
85 : 57 c 0
86 : 16 c 0
86 : 60 c 0
86 : 86 c 0
86 : 98 c 0
87 : 4 c 0
87 : 34 c 0
87 : 39 c 0
87 : 46 c 0
88 : 19 c 0
90 : 14 c 0
90 : 67 c 0
90 : 94 c 0
91 : 1 c 0
91 : 16 c 0
91 : 48 c 0
91 : 72 c 0
92 : 4 c 0
92 : 26 c 0
92 : 54 c 0
92 : 74 c 0
93 : 74 c 0
94 : 95 c 0
95 : 4 c 0
95 : 68 c 0
96 : 2 c 0
97 : 9 c 0
97 : 81 c 0
97 : 81 c 0
98 : 67 c 0
98 : 71 c 0
98 : 97 c 0
99 : 0 die
99 : 0 lf 100
99 : 0 a 0.204058
99 : 3 die
99 : 3 lf 100
99 : 3 a 0.320662
99 : 7 die
99 : 7 lf 100
99 : 7 a 0.291511
99 : 11 die
99 : 11 lf 100
99 : 11 a 0.145756
99 : 12 die
99 : 12 lf 100
99 : 12 a 0.204058
99 : 13 die
99 : 13 lf 100
99 : 13 a 0.553871
99 : 17 die
99 : 17 lf 100
99 : 17 a 0.757929
99 : 18 die
99 : 18 lf 100
99 : 18 a 0.408116
99 : 22 die
99 : 22 lf 100
99 : 22 a 0.466418
99 : 23 die
99 : 23 lf 100
99 : 23 a 0.26236
99 : 35 die
99 : 35 lf 100
99 : 35 a 0.495569
99 : 36 die
99 : 36 lf 100
99 : 36 a 0.233209
99 : 38 die
99 : 38 lf 100
99 : 38 a 0.320662
99 : 40 die
99 : 40 lf 100
99 : 40 a 0.116604
99 : 41 die
99 : 41 lf 100
99 : 41 a 0.0583022
99 : 42 die
99 : 42 lf 100
99 : 42 a 0.26236
99 : 44 die
99 : 44 lf 100
99 : 44 a 0.378965
99 : 51 die
99 : 51 lf 100
99 : 51 a 0.174907
99 : 53 die
99 : 53 lf 100
99 : 53 a 0.145756
99 : 55 die
99 : 55 lf 100
99 : 55 a 0.204058
99 : 65 die
99 : 65 lf 100
99 : 65 a 0.437267
99 : 69 die
99 : 69 lf 100
99 : 69 a 0.320662
99 : 70 c 0
99 : 75 die
99 : 75 lf 100
99 : 75 a 0.174907
99 : 78 die
99 : 78 lf 100
99 : 78 a 0.291511
99 : 80 die
99 : 80 lf 100
99 : 80 a 0.26236
99 : 85 die
99 : 85 lf 100
99 : 85 a 1.3701
99 : 86 c 0
99 : 99 die
99 : 99 lf 100
99 : 99 a 0.174907
100 : 64 c 0
101 : 9 c 0
101 : 10 c 0
101 : 25 c 0
101 : 25 c 0
101 : 28 c 0
101 : 32 c 0
101 : 32 c 0
101 : 45 c 0
101 : 47 c 0
101 : 52 c 0
101 : 60 c 0
101 : 64 c 0
101 : 73 c 0
101 : 74 c 0
101 : 90 c 0
101 : 93 c 0
102 : 26 c 0
102 : 26 c 0
102 : 52 c 0
102 : 71 c 0
102 : 94 c 0
103 : 5 c 0
103 : 60 c 0
103 : 62 c 0
103 : 62 c 0
103 : 83 c 0
105 : 45 c 0
105 : 59 c 0
106 : 10 c 0
106 : 29 c 0
106 : 32 c 0
106 : 33 c 0
106 : 89 c 0
108 : 14 c 0
108 : 46 c 0
108 : 82 c 0
109 : 14 c 0
109 : 70 c 0
109 : 79 c 0
109 : 87 c 0
110 : 50 c 0
110 : 58 c 0
111 : 19 c 0
111 : 86 c 0
112 : 30 c 0
112 : 58 c 0
112 : 58 c 0
112 : 63 c 0
112 : 98 c 0
113 : 19 c 0
114 : 54 c 0
115 : 43 c 0
115 : 57 c 0
115 : 67 c 0
115 : 94 c 0
116 : 5 c 0
116 : 72 c 0
116 : 96 c 0
117 : 4 c 0
117 : 8 c 0
118 : 5 c 0
119 : 95 c 0
120 : 1 c 0
120 : 5 c 0
120 : 74 c 0
121 : 74 c 0
122 : 4 c 0
122 : 96 c 0
123 : 48 c 0
123 : 71 c 0
123 : 79 c 0
124 : 81 c 0
125 : 90 c 0
125 : 96 c 0
126 : 9 c 0
126 : 9 c 0
126 : 10 c 0
126 : 25 c 0
126 : 25 c 0
126 : 32 c 0
126 : 32 c 0
126 : 34 c 0
126 : 45 c 0
126 : 52 c 0
126 : 60 c 0
126 : 64 c 0
126 : 73 c 0
126 : 74 c 0
126 : 81 c 0
126 : 93 c 0
127 : 52 c 0
127 : 54 c 0
127 : 60 c 0
127 : 71 c 0
128 : 60 c 0
128 : 62 c 0
128 : 62 c 0
128 : 63 c 0
128 : 83 c 0
128 : 97 c 0
129 : 46 c 0
129 : 47 c 0
130 : 90 c 0
131 : 10 c 0
131 : 32 c 0
131 : 37 c 0
131 : 89 c 0
132 : 29 c 0
132 : 59 c 0
133 : 14 c 0
133 : 46 c 0
134 : 87 c 0
136 : 19 c 0
136 : 50 c 0
137 : 63 c 0
138 : 5 c 0
138 : 19 c 0
138 : 28 c 0
138 : 48 c 0
138 : 98 c 0
139 : 14 c 0
139 : 30 c 0
139 : 52 c 0
140 : 43 c 0
140 : 67 c 0
141 : 4 c 0
141 : 5 c 0
141 : 72 c 0
141 : 96 c 0
143 : 5 c 0
144 : 86 c 0
145 : 5 c 0
145 : 57 c 0
146 : 82 c 0
148 : 24 c 0
148 : 74 c 0
149 : 6 die
149 : 6 lf 150
149 : 6 a 0.291511
149 : 8 c 0
149 : 15 die
149 : 15 lf 150
149 : 15 a 0.42755
149 : 21 die
149 : 21 lf 150
149 : 21 a 0.349813
149 : 27 die
149 : 27 lf 150
149 : 27 a 0.233209
149 : 31 die
149 : 31 lf 150
149 : 31 a 0.194341
149 : 49 die
149 : 49 lf 150
149 : 49 a 0.233209
149 : 56 die
149 : 56 lf 150
149 : 56 a 0.194341
149 : 61 die
149 : 61 lf 150
149 : 61 a 0.641325
149 : 74 c 0
149 : 76 die
149 : 76 lf 150
149 : 76 a 0.544154
149 : 84 die
149 : 84 lf 150
149 : 84 a 0.330379
149 : 88 die
149 : 88 lf 150
149 : 88 a 0.971704
149 : 91 die
149 : 91 lf 150
149 : 91 a 0.233209
149 : 92 die
149 : 92 lf 150
149 : 92 a 0.544154
150 : 1 c 0
151 : 9 c 0
151 : 25 c 0
151 : 25 c 0
151 : 32 c 0
151 : 45 c 0
151 : 52 c 0
151 : 54 c 0
151 : 60 c 0
151 : 64 c 0
151 : 73 c 0
151 : 74 c 0
151 : 89 c 0
151 : 93 c 0
151 : 94 c 0
152 : 71 c 0
152 : 79 c 0
152 : 90 c 0
153 : 52 c 0
153 : 62 c 0
153 : 83 c 0
154 : 9 c 0
155 : 4 c 0
155 : 8 c 0
155 : 62 c 0
155 : 79 c 0
156 : 10 c 0
156 : 10 c 0
156 : 32 c 0
156 : 37 c 0
156 : 52 c 0
156 : 89 c 0
157 : 47 c 0
158 : 29 c 0
158 : 46 c 0
158 : 97 c 0
159 : 2 c 0
159 : 26 c 0
159 : 87 c 0
160 : 4 c 0
160 : 4 c 0
161 : 19 c 0
162 : 50 c 0
162 : 63 c 0
163 : 5 c 0
163 : 19 c 0
163 : 48 c 0
163 : 60 c 0
163 : 98 c 0
165 : 30 c 0
165 : 43 c 0
165 : 67 c 0
166 : 5 c 0
166 : 52 c 0
166 : 54 c 0
166 : 72 c 0
167 : 60 c 0
168 : 4 c 0
168 : 5 c 0
