# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140304-14h28m09s750815us
#
# random seed             : 1393943289
0 : 1 c 50
0 : 6 c 50
0 : 6 c 50
0 : 6 c 50
0 : 6 c 50
0 : 8 c 50
0 : 8 c 50
0 : 8 c 50
0 : 8 c 50
0 : 9 c 50
0 : 10 c 50
0 : 12 c 50
0 : 12 c 50
0 : 14 c 50
0 : 16 c 50
0 : 24 c 50
0 : 28 c 50
0 : 28 c 50
0 : 29 c 50
0 : 29 c 50
0 : 32 c 50
0 : 33 c 50
0 : 36 c 50
0 : 40 c 50
0 : 41 c 50
0 : 43 c 50
0 : 45 c 50
0 : 47 c 50
0 : 47 c 50
0 : 49 c 50
0 : 52 c 50
0 : 54 c 50
0 : 59 c 50
0 : 59 c 50
0 : 59 c 50
0 : 65 c 50
0 : 71 c 50
0 : 74 c 50
0 : 75 c 50
0 : 77 c 50
0 : 79 c 50
0 : 82 c 50
0 : 82 c 50
0 : 83 c 50
0 : 83 c 50
0 : 94 c 50
0 : 94 c 50
0 : 95 c 50
0 : 96 c 50
0 : 96 c 50
0 : 98 c 50
0 : 99 c 50
1 : 1 c 45.4842
1 : 6 c 3.80311
1 : 6 c 3.80311
1 : 6 c 3.80311
1 : 6 c 3.80311
1 : 8 c 5.97125
1 : 8 c 5.97125
1 : 8 c 5.97125
1 : 9 c 15.1827
1 : 10 c 0.531441
1 : 12 c 0.817513
1 : 12 c 0.817513
1 : 14 c 22.5585
1 : 16 c 7.28111
1 : 28 c 46.551
1 : 28 c 46.551
1 : 29 c 47.9562
1 : 29 c 47.9562
1 : 32 c 3.04865
1 : 32 c 3.04865
1 : 33 c 43.6409
1 : 36 c 29.7898
1 : 40 c 48.5745
1 : 41 c 49.1295
1 : 43 c 8.55706
1 : 45 c 15.3965
1 : 47 c 45.138
1 : 47 c 45.138
1 : 49 c 49.7329
1 : 54 c 28.8463
1 : 59 c 26.8761
1 : 59 c 26.8761
1 : 65 c 36.6879
1 : 67 c 13.9592
1 : 68 c 2.12698
1 : 71 c 35.071
1 : 74 c 12.6361
1 : 75 c 11.8911
1 : 77 c 48.2455
1 : 79 c 43.2116
1 : 82 c 42.6391
1 : 82 c 42.6391
1 : 83 c 37.6175
1 : 83 c 37.6175
1 : 94 c 4.11261
1 : 95 c 1.2641
1 : 96 c 38.8824
1 : 96 c 38.8824
1 : 98 c 23.7391
1 : 99 c 49.1156
2 : 28 c 45.3956
2 : 28 c 45.3956
2 : 29 c 49.0264
2 : 29 c 49.0264
2 : 40 c 38.7238
2 : 41 c 37.8182
2 : 43 c 12.5998
2 : 49 c 47.2892
2 : 52 c 30.3431
2 : 58 c 49.0032
2 : 77 c 46.2253
2 : 93 c 6.1179
3 : 1 c 38.9037
3 : 29 c 49.0505
3 : 29 c 49.0505
3 : 35 c 42.5427
3 : 47 c 43.284
3 : 49 c 46.8343
3 : 58 c 49.0141
3 : 61 c 43.8876
3 : 77 c 48.9337
4 : 11 c 29.301
4 : 28 c 45.1868
4 : 29 c 49.0732
4 : 33 c 36.5336
4 : 38 c 6.05758
4 : 49 c 45.6437
4 : 58 c 49.2012
4 : 77 c 47.655
4 : 79 c 40.8193
4 : 82 c 40.1826
5 : 13 c 20.737
5 : 29 c 49.0918
5 : 40 c 33.2399
5 : 58 c 49.5025
5 : 77 c 38.4088
6 : 28 c 44.8817
6 : 29 c 49.106
6 : 49 c 24.461
6 : 52 c 34.4469
6 : 52 c 34.4469
6 : 53 c 46.5806
6 : 58 c 49.6321
6 : 61 c 42.6522
6 : 86 c 0.559803
6 : 91 c 43.7618
6 : 96 c 31.7102
6 : 96 c 31.7102
6 : 98 c 35.9995
7 : 8 c 4.74457
7 : 12 c 2.23948
7 : 29 c 49.1147
7 : 40 c 30.9244
7 : 47 c 28.0145
7 : 58 c 49.6633
7 : 59 c 35.1408
